Until: 25/03/2024 
 
Team Longest Cummulate Avg.Stk 10+ TakePerSeason LastHold NbTake NbSeas 
AND 2 2 2.0 0 1.0 19500405 1 1 
ATL 11 344 1.96 2 2.36 20221205 175 75 
BOS 17 852 2.93 9 3.71 20240201 290 78 
BLB 5 39 1.56 0 3.57 19540214 25 7 
BRK 8 110 2.03 0 1.17 20211204 54 48 
LAC 8 132 2.06 0 1.18 20240310 64 54 
CHO 4 55 1.71 0 0.91 20221031 32 36 
CHI 13 252 2.49 1 1.77 20230322 101 58 
WAS 8 209 1.99 0 1.72 20211117 105 63 
CHS 6 44 2.93 0 3.75 19500204 15 4 
CLE 11 201 2.64 2 1.43 20230131 76 54 
CLR 1 1 1.0 0 1.0 19461210 1 1 
DAL 6 109 2.01 0 1.22 20231214 54 44 
DEN 9 147 2.07 0 1.47 Current_holder 71 48 
DET 10 297 2.07 1 1.93 20220105 143 76 
DNN 0 0 0.0 0 0.0 Never 0 1 
DTF 3 7 1.75 0 4.0 19471112 4 1 
GSW 27 373 2.31 2 2.09 20230512 161 78 
HOU 11 219 2.08 2 1.84 20240306 105 57 
IND 10 162 2.0 1 1.68 20240130 81 48 
INJ 1 1 1.0 0 1.0 19481213 1 1 
INO 4 19 1.58 0 3.0 19521125 12 4 
LAL 18 643 2.67 5 3.15 20240208 240 76 
MEM 10 77 2.48 1 1.1 20230428 31 29 
MIA 12 180 2.43 1 2.05 20231230 74 36 
MIL 15 284 2.55 3 1.98 20240312 111 56 
MIN 7 59 1.96 0 0.85 20231220 30 35 
NOP 9 45 2.14 0 1.0 20221231 21 22 
NYK 12 399 2.1 3 2.43 20240321 190 78 
OKC 9 201 2.28 0 1.54 20240229 88 57 
ORL 8 79 2.13 0 1.12 20220313 37 35 
PHI 11 442 2.25 3 2.61 20240125 196 75 
PHO 10 201 2.13 1 1.67 20231129 94 56 
PIT 1 2 1.0 0 2.0 19470123 2 1 
POR 12 168 2.15 1 1.47 20221026 78 54 
PRO 2 6 1.5 0 1.33 19490205 4 3 
SAC 12 328 2.14 3 2.01 20240316 153 76 
SAS 13 277 3.01 4 1.91 20240305 92 48 
SHE 1 2 1.0 0 2.0 19500325 2 1 
STB 1 4 1.0 0 1.0 19490209 4 4 
TOR 5 45 1.8 0 0.86 20231201 25 29 
TRH 1 3 1.0 0 3.0 19470329 3 1 
UTA 12 216 2.73 5 1.58 20240105 79 50 
WAT 0 0 0.0 0 0.0 Never 0 1 
WSC 13 36 3.6 1 2.0 19501121 10 5 
