UpDate: 06/03/2024 
 
Name Surname Player_Id Pts/game Best_Scoring BestSc_Date Games_played Games_w_Baton Missed_Opportunity 
Leo Gottlieb gottlle01 6.970588235294118 22 19470104 34 22 4 
Ossie Schectman schecos01 7.588235294117647 14 19461116 17 10 4 
Stan Stutz stutzst01 6.836734693877551 27 19471118 49 25 12 
Ralph Kaplowitz kaplora01 7.78125 16 19461123 32 19 6 
Jake Weber weberja01 3.9 12 19461219 10 6 2 
Hank Rosenstein rosenha01 6.190476190476191 19 19470319 21 12 6 
Dick Murphy murphdi01 3.1666666666666665 5 19461101 6 4 1 
Nat Militzok militna01 3.4285714285714284 7 19461118 21 13 4 
Tommy Byrnes byrneto01 7.151515151515151 25 19471218 66 33 19 
Sonny Hertzberg hertzso01 8.209876543209877 23 19470322 81 50 19 
Bob Mullens mullebo01 5.0588235294117645 12 19470328 17 11 2 
Ed Sadowski sadowed01 16.35483870967742 30 19491218 31 9 17 
George Nostrand nostrge01 9.5 28 19480103 28 4 20 
Charlie Hoefer hoefech01 7 11 19470123 6 2 3 
Mike McCarron mccarmi01 14.11111111111111 27 19470202 9 3 3 
Ray Wertis wertira01 4.5 10 19471118 4 0 4 
Dick Fitzgerald fitzgdi01 3.2222222222222223 6 19461101 9 3 3 
Bob Fitzgerald fitzgbo01 1.5416666666666667 8 19470109 24 17 5 
Harry Miller milleha01 2.6666666666666665 8 19470328 9 3 3 
Frank Fucarino fucarfr01 3 8 19470109 3 1 1 
Hank Biasatti biasaha01 0 0 19461101 1 0 1 
Roy Hurley hurlero01 6.571428571428571 11 19470117 7 2 3 
Max Zaslofsky zasloma01 15.777777777777779 34 19471230 162 98 27 
Chick Halbert halbech01 9.983870967741936 25 19470309 62 29 21 
Doyle Parrack parrado01 6.277777777777778 14 19461107 18 12 2 
Mickey Rottner rottnmi01 5.3076923076923075 22 19470202 39 27 4 
Wilbert Kautz kautzwi01 4.636363636363637 18 19461212 22 16 2 
Jim Seminoff seminji01 7.788461538461538 22 19480221 52 30 14 
Bob Duffy duffybo01 1.6 4 19461102 5 2 2 
Tony Jaros jarosto01 5.027777777777778 20 19461120 72 51 6 
Chuck Gilmur gilmuch01 6.09375 21 19480309 64 39 12 
Norm Baker bakerno01 0 0 19461102 3 2 0 
Bill Davis davisbi01 1.8333333333333333 8 19461107 18 14 1 
Don Carlson carlsdo01 7.6 28 19461212 60 42 5 
Johnny Simmons simmojo01 7 13 19461105 5 1 3 
Wyndol Gray graywy01 4.428571428571429 12 19461105 7 1 5 
Chuck Connors connoch01 3.857142857142857 8 19461105 7 2 4 
Red Wallace wallare01 10.8 38 19470131 10 3 4 
Warren Fenley fenlewa01 3 5 19461105 3 1 2 
Virgil Vaughn vaughvi01 2.5 4 19461105 2 0 2 
Art Spector spectar01 4.714285714285714 15 19481225 21 3 16 
Tony Kappen kappeto01 5.875 17 19470120 8 1 6 
Connie Simmons simmoco01 11.049689440993788 34 19480327 161 91 33 
Al Brightman brighal01 9.285714285714286 17 19470125 7 2 4 
Harold Kottman kottmha01 0.8333333333333334 2 19470123 6 1 4 
Mel Hirsch hirscme01 0 0 19461105 1 0 1 
Earl Shannon shannea01 8.24 21 19461219 25 5 17 
Ernie Calverley calveer01 12.9 24 19471118 30 6 20 
Pop Goodwin goodwpo01 5.0625 16 19461221 16 4 9 
Dino Martin martidi01 9.142857142857142 24 19470326 21 5 13 
George Mearns mearnge01 5.117647058823529 18 19461111 17 5 9 
Hank Beenders beendha01 6.413793103448276 19 19470319 29 10 13 
Tom Callahan callato01 1.6666666666666667 3 19461107 3 2 0 
Bob Shea sheabo01 2.75 7 19461109 8 3 4 
John Abramovic abramjo01 13.25 29 19461116 12 1 10 
Moe Becker beckemo01 5.5 14 19461109 8 4 2 
Harry Zeller zelleha01 8.11111111111111 15 19461111 9 2 6 
Michael Bytzura bytzumi01 3.5 8 19461109 12 2 8 
John Mills millsjo01 4.444444444444445 14 19461215 9 2 5 
Nat Frankel frankna01 2.3333333333333335 7 19461109 3 1 1 
Red Mihalik mihalre01 1 2 19461109 2 1 1 
Ed Melvin melvied01 6.666666666666667 15 19461111 12 2 8 
Press Maravich maravpr01 3.8181818181818183 18 19470206 11 2 7 
Stan Noszka noszkst01 7.352941176470588 25 19470120 17 2 13 
Red Dehnert dehnere01 1 2 19461109 3 1 1 
Ken Keller kelleke01 0.5 2 19470127 4 3 0 
Lou Spicer spicelo01 0.5 1 19461111 2 1 0 
Armand Cure curear01 0 0 19461109 2 2 0 
Walt Miller millewa01 3.6666666666666665 8 19461111 3 1 1 
Gorham Getchell getchgo01 1 3 19461215 3 0 2 
John Murphy murphjo01 0 0 19461116 4 3 1 
Ariel Maughan maughar01 6.966666666666667 18 19470117 30 10 14 
Stan Miasek miasest01 11.897435897435898 28 19490211 78 43 14 
John Janisch janisjo01 11.307692307692308 18 19470115 13 7 3 
Tom King kingto01 4.363636363636363 8 19470220 11 6 2 
George Pearcy pearcge01 6.857142857142857 13 19470101 7 4 2 
Bob Dille dillebo01 4.083333333333333 16 19470101 12 7 2 
Grady Lewis lewisgr01 5 12 19490120 37 22 5 
Chet Aubuchon aubucch01 1.75 8 19470104 8 4 2 
Harold Brown brownha01 5.083333333333333 13 19470117 12 7 2 
Harold Johnson johnsha01 0.8 2 19470115 5 3 1 
Henry Pearcy pearche01 2.1666666666666665 5 19470120 6 2 2 
Bob Cluggish cluggbo01 3.789473684210526 8 19470324 19 13 3 
Chet Carlisle carlich01 6.157894736842105 16 19470216 19 14 2 
Buck Sydnor sydnobu01 0.5 1 19461120 4 2 1 
Mel Riebe riebeme01 11.333333333333334 27 19461123 15 2 11 
Leo Mogus mogusle01 7.970588235294118 26 19490219 34 17 7 
Nick Shaback shabani01 7.333333333333333 8 19470309 3 1 2 
