Rocha Red rochare01 18 19520101 SYR 2
Jorgensen Noble jorgeno01 17 19520101 SYR 2
Schayes Dolph schaydo01 14 19520101 SYR 2
Ratkovicz George ratkoge01 9 19520101 SYR 2
Calabrese Gerry calabge01 6 19520101 SYR 2
Cervi Al cervial01 6 19520101 SYR 2
King George kingge01 4 19520101 SYR 2
Seymour Paul seymopa01 4 19520101 SYR 2
Osterkorn Wally osterwa01 2 19520101 SYR 2
Gabor Bill gaborbi01 0 19520101 SYR 2
Mikan George mikange01 37 19520101 MNL 1
Pollard Jim pollaji01 13 19520101 MNL 1
Mikkelsen Vern mikkeve01 13 19520101 MNL 1
Harrison Bob harribo02 9 19520101 MNL 1
Martin Slater martisl01 6 19520101 MNL 1
Schultz Howie schulho01 4 19520101 MNL 1
Skoog Whitey skoogwh01 0 19520101 MNL 1
Hitch Lew hitchle01 0 19520101 MNL 1
Pollard Jim pollaji01 21 19520104 MNL 1
Mikan George mikange01 21 19520104 MNL 1
Mikkelsen Vern mikkeve01 20 19520104 MNL 1
Martin Slater martisl01 9 19520104 MNL 1
Skoog Whitey skoogwh01 5 19520104 MNL 1
Harrison Bob harribo02 2 19520104 MNL 1
Hutton Joe huttojo01 1 19520104 MNL 1
Schultz Howie schulho01 0 19520104 MNL 1
Hitch Lew hitchle01 0 19520104 MNL 1
Foust Larry foustla01 15 19520104 FTW 2
Schaus Fred schaufr01 12 19520104 FTW 2
Brian Frankie brianfr01 12 19520104 FTW 2
Fendley Jake fendlja01 11 19520104 FTW 2
Kerris Jack kerrija01 8 19520104 FTW 2
Johnson Ralph johnsra01 3 19520104 FTW 2
Share Chuck sharech01 2 19520104 FTW 2
Kiley Jack kileyja01 1 19520104 FTW 2
Closs Bill clossbi01 0 19520104 FTW 2
Mikan George mikange01 20 19520105 MNL 1
Mikkelsen Vern mikkeve01 18 19520105 MNL 1
Martin Slater martisl01 13 19520105 MNL 1
Pollard Jim pollaji01 12 19520105 MNL 1
Schultz Howie schulho01 8 19520105 MNL 1
Skoog Whitey skoogwh01 7 19520105 MNL 1
Hutton Joe huttojo01 4 19520105 MNL 1
Hitch Lew hitchle01 3 19520105 MNL 1
Harrison Bob harribo02 1 19520105 MNL 1
Graboski Joe grabojo01 13 19520105 INO 2
Jones Wah_Wah joneswa01 10 19520105 INO 2
Holland Joe hollajo01 10 19520105 INO 2
Tosheff Bill toshebi01 8 19520105 INO 2
O'Brien Ralph obriera01 7 19520105 INO 2
Lavoy Bob lavoybo01 7 19520105 INO 2
Walther Paul walthpa01 5 19520105 INO 2
Lofgran Don lofgrdo01 3 19520105 INO 2
Barker Cliff barkecl01 1 19520105 INO 2
Barnhorst Leo barnhle01 1 19520105 INO 2
Zaslofsky Max zasloma01 18 19520106 NYK 2
Simmons Connie simmoco01 13 19520106 NYK 2
Gallatin Harry gallaha01 12 19520106 NYK 2
Clifton Nat cliftna01 12 19520106 NYK 2
Boryla Vince borylvi01 10 19520106 NYK 2
McGuire Dick mcguidi01 10 19520106 NYK 2
Vandeweghe Ernie vandeer01 9 19520106 NYK 2
McGuire Alfred mcguial01 4 19520106 NYK 2
