Henderson Tom hendeto01 18 19760102 ATL 0
Van_Arsdale Tom vanarto01 6 19760102 ATL 0
Hudson Lou hudsolo01 10 19760102 ATL 0
Jones Dwight jonesdw01 10 19760102 ATL 0
Hawkins Connie hawkico01 3 19760102 ATL 0
Drew John drewjo01 21 19760102 ATL 0
Meminger Dean meminde01 11 19760102 ATL 0
Brown John brownjo01 2 19760102 ATL 0
Sojourner Mike sojoumi01 8 19760102 ATL 0
Willoughby Bill willobi01 4 19760102 ATL 0
Creighton Jim creigji01 2 19760102 ATL 0
Nelson Louie nelsolo01 24 19760102 NOJ 1
Maravich Pete maravpe01 26 19760102 NOJ 1
Moore Otto mooreot01 7 19760102 NOJ 1
James Aaron jamesaa01 10 19760102 NOJ 1
Stallworth Bud stallbu01 18 19760102 NOJ 1
Williams Nate willina01 12 19760102 NOJ 1
Bibby Henry bibbyhe01 11 19760102 NOJ 1
Behagen Ron behagro01 0 19760102 NOJ 1
Kelley Rich kelleri01 3 19760102 NOJ 1
Counts Mel countme01 0 19760102 NOJ 1
McElroy Jim mcelrji01 0 19760102 NOJ 1
Lacey Sam laceysa01 10 19760103 KCK 2
Wedman Scott wedmasc01 19 19760103 KCK 2
Archibald Tiny architi01 12 19760103 KCK 2
Hansen Glenn hansegl01 5 19760103 KCK 2
Johnson Ollie johnsol01 12 19760103 KCK 2
McNeill Larry mcneila01 7 19760103 KCK 2
Guokas Matt guokama02 6 19760103 KCK 2
Walker Jimmy walkeji01 4 19760103 KCK 2
Robinzine Bill robinbi01 9 19760103 KCK 2
Roberson Rick roberri01 7 19760103 KCK 2
Bigelow Bob bigelbo01 4 19760103 KCK 2
Maravich Pete maravpe01 21 19760103 NOJ 1
Moore Otto mooreot01 3 19760103 NOJ 1
Nelson Louie nelsolo01 16 19760103 NOJ 1
Behagen Ron behagro01 12 19760103 NOJ 1
Stallworth Bud stallbu01 20 19760103 NOJ 1
Williams Nate willina01 23 19760103 NOJ 1
Bibby Henry bibbyhe01 6 19760103 NOJ 1
Kelley Rich kelleri01 7 19760103 NOJ 1
James Aaron jamesaa01 10 19760103 NOJ 1
McElroy Jim mcelrji01 2 19760103 NOJ 1
Counts Mel countme01 0 19760103 NOJ 1
Maravich Pete maravpe01 26 19760106 NOJ 1
Behagen Ron behagro01 15 19760106 NOJ 1
Nelson Louie nelsolo01 12 19760106 NOJ 1
Moore Otto mooreot01 7 19760106 NOJ 1
Stallworth Bud stallbu01 16 19760106 NOJ 1
Bibby Henry bibbyhe01 4 19760106 NOJ 1
Kelley Rich kelleri01 8 19760106 NOJ 1
Williams Nate willina01 10 19760106 NOJ 1
Counts Mel countme01 4 19760106 NOJ 1
James Aaron jamesaa01 2 19760106 NOJ 1
Love Bob lovebo01 40 19760106 CHI 2
Van_Lier Norm vanlino01 5 19760106 CHI 2
Sloan Jerry sloanje01 6 19760106 CHI 2
Pondexter Cliff pondecl01 6 19760106 CHI 2
Johnson Mickey johnsmi01 24 19760106 CHI 2
Boerwinkle Tom boerwto01 6 19760106 CHI 2
Marin Jack marinja01 0 19760106 CHI 2
Benbow Leon benbole01 6 19760106 CHI 2
Laskowski John laskojo01 5 19760106 CHI 2
Maravich Pete maravpe01 37 19760108 NOJ 1
Moore Otto mooreot01 4 19760108 NOJ 1
Nelson Louie nelsolo01 9 19760108 NOJ 1
Behagen Ron behagro01 14 19760108 NOJ 1
Williams Nate willina01 13 19760108 NOJ 1
Bibby Henry bibbyhe01 15 19760108 NOJ 1
Stallworth Bud stallbu01 7 19760108 NOJ 1
James Aaron jamesaa01 6 19760108 NOJ 1
Kelley Rich kelleri01 2 19760108 NOJ 1
Archibald Tiny architi01 19 19760108 KCK 2
Lacey Sam laceysa01 14 19760108 KCK 2
Hansen Glenn hansegl01 26 19760108 KCK 2
Wedman Scott wedmasc01 7 19760108 KCK 2
McNeill Larry mcneila01 16 19760108 KCK 2
Johnson Ollie johnsol01 14 19760108 KCK 2
Guokas Matt guokama02 0 19760108 KCK 2
Roberson Rick roberri01 1 19760108 KCK 2
Robinzine Bill robinbi01 0 19760108 KCK 2
Maravich Pete maravpe01 34 19760110 NOJ 1
Behagen Ron behagro01 25 19760110 NOJ 1
