Haffner Scott haffnsc01 14 19900102 MIA 2
Seikaly Rony seikaro01 14 19900102 MIA 2
Rice Glen ricegl01 16 19900102 MIA 2
Douglas Sherman douglsh01 10 19900102 MIA 2
Long Grant longgr01 4 19900102 MIA 2
Frank Tellis frankte01 8 19900102 MIA 2
Thompson Billy thompbi01 12 19900102 MIA 2
Sparrow Rory sparrro01 12 19900102 MIA 2
Davis Terry daviste01 5 19900102 MIA 2
Sundvold Jon sundvjo01 0 19900102 MIA 2
Duckworth Kevin duckwke01 24 19900102 POR 1
Porter Terry portete01 14 19900102 POR 1
Drexler Clyde drexlcl01 25 19900102 POR 1
Kersey Jerome kerseje01 14 19900102 POR 1
Williams Buck willibu01 7 19900102 POR 1
Robinson Clifford robincl02 6 19900102 POR 1
Petrović Dražen petrodr01 13 19900102 POR 1
Bryant Mark bryanma01 5 19900102 POR 1
Young Danny youngda01 4 19900102 POR 1
Cooper Wayne coopewa01 5 19900102 POR 1
Irvin Byron irvinby01 2 19900102 POR 1
Malone Karl malonka01 18 19900105 UTA 2
Eaton Mark eatonma01 2 19900105 UTA 2
Stockton John stockjo01 20 19900105 UTA 2
Hansen Bob hansebo01 8 19900105 UTA 2
Edwards Blue edwarbl01 10 19900105 UTA 2
Bailey Thurl baileth01 6 19900105 UTA 2
Rudd Delaney ruddde01 4 19900105 UTA 2
Brown Mike brownmi01 4 19900105 UTA 2
Leckner Eric leckner01 6 19900105 UTA 2
Griffith Darrell griffda01 5 19900105 UTA 2
Ortiz José ortizjo01 4 19900105 UTA 2
Johnson Eric johnser01 2 19900105 UTA 2
Drexler Clyde drexlcl01 25 19900105 POR 1
Porter Terry portete01 12 19900105 POR 1
Duckworth Kevin duckwke01 22 19900105 POR 1
Williams Buck willibu01 11 19900105 POR 1
Kersey Jerome kerseje01 7 19900105 POR 1
Bryant Mark bryanma01 8 19900105 POR 1
Robinson Clifford robincl02 14 19900105 POR 1
Petrović Dražen petrodr01 6 19900105 POR 1
Young Danny youngda01 4 19900105 POR 1
Irvin Byron irvinby01 9 19900105 POR 1
Kersey Jerome kerseje01 17 19900106 POR 1
Porter Terry portete01 25 19900106 POR 1
Drexler Clyde drexlcl01 21 19900106 POR 1
Duckworth Kevin duckwke01 14 19900106 POR 1
Williams Buck willibu01 14 19900106 POR 1
Bryant Mark bryanma01 12 19900106 POR 1
Petrović Dražen petrodr01 6 19900106 POR 1
Robinson Clifford robincl02 5 19900106 POR 1
Young Danny youngda01 4 19900106 POR 1
Irvin Byron irvinby01 6 19900106 POR 1
Tisdale Wayman tisdawa01 30 19900106 SAC 2
Smith Kenny smithke01 23 19900106 SAC 2
McCray Rodney mccraro01 21 19900106 SAC 2
Ainge Danny aingeda01 23 19900106 SAC 2
Kite Greg kitegr01 5 19900106 SAC 2
