Duncan Tim duncati01 18 20070102 SAS 0
Parker Tony parketo01 26 20070102 SAS 0
Bowen Bruce bowenbr01 0 20070102 SAS 0
Ginóbili Manu ginobma01 6 20070102 SAS 0
Horry Robert horryro01 5 20070102 SAS 0
Barry Brent barrybr01 4 20070102 SAS 0
Bonner Matt bonnema01 8 20070102 SAS 0
Udrih Beno udrihbe01 2 20070102 SAS 0
Oberto Fabricio obertfa01 4 20070102 SAS 0
Finley Michael finlemi01 5 20070102 SAS 0
James LeBron jamesle01 19 20070102 CLE 1
Hughes Larry hughela01 18 20070102 CLE 1
Snow Eric snower01 1 20070102 CLE 1
Ilgauskas Zydrunas ilgauzy01 8 20070102 CLE 1
Gooden Drew goodedr01 10 20070102 CLE 1
Varejão Anderson varejan01 8 20070102 CLE 1
Jones Damon jonesda01 11 20070102 CLE 1
Marshall Donyell marshdo01 3 20070102 CLE 1
Pavlović Sasha pavloal01 1 20070102 CLE 1
Gibson Daniel gibsoda01 3 20070102 CLE 1
Hughes Larry hughela01 14 20070103 CLE 1
James LeBron jamesle01 32 20070103 CLE 1
Ilgauskas Zydrunas ilgauzy01 27 20070103 CLE 1
Gooden Drew goodedr01 13 20070103 CLE 1
Snow Eric snower01 8 20070103 CLE 1
Jones Damon jonesda01 9 20070103 CLE 1
Varejão Anderson varejan01 4 20070103 CLE 1
Gibson Daniel gibsoda01 0 20070103 CLE 1
Allen Tony allento01 22 20070103 BOS 2
Jefferson Al jeffeal01 18 20070103 BOS 2
West Delonte westde01 10 20070103 BOS 2
Szczerbiak Wally szczewa02 13 20070103 BOS 2
Gomes Ryan gomesry01 6 20070103 BOS 2
Telfair Sebastian telfase01 10 20070103 BOS 2
Green Gerald greenge01 21 20070103 BOS 2
Perkins Kendrick perkike01 4 20070103 BOS 2
Scalabrine Brian scalabr01 0 20070103 BOS 2
Rondo Rajon rondora01 0 20070103 BOS 2
Olowokandi Michael olowomi01 0 20070103 BOS 2
James LeBron jamesle01 8 20070105 CLE 1
Snow Eric snower01 4 20070105 CLE 1
Gooden Drew goodedr01 31 20070105 CLE 1
Hughes Larry hughela01 22 20070105 CLE 1
Ilgauskas Zydrunas ilgauzy01 11 20070105 CLE 1
Jones Damon jonesda01 8 20070105 CLE 1
Varejão Anderson varejan01 4 20070105 CLE 1
Marshall Donyell marshdo01 4 20070105 CLE 1
Gibson Daniel gibsoda01 3 20070105 CLE 1
