Alston Rafer alstora01 18 20080102 HOU 2
Ming Yao mingya01 19 20080102 HOU 2
Battier Shane battish01 6 20080102 HOU 2
Head Luther headlu01 10 20080102 HOU 2
Hayes Chuck hayesch01 4 20080102 HOU 2
Wells Bonzi wellsbo01 25 20080102 HOU 2
Scola Luis scolalu01 7 20080102 HOU 2
Brooks Aaron brookaa01 2 20080102 HOU 2
James Mike jamesmi01 2 20080102 HOU 2
Allen Ray allenra02 13 20080102 BOS 1
Pierce Paul piercpa01 19 20080102 BOS 1
Garnett Kevin garneke01 26 20080102 BOS 1
Rondo Rajon rondora01 13 20080102 BOS 1
Perkins Kendrick perkike01 4 20080102 BOS 1
Posey James poseyja01 1 20080102 BOS 1
House Eddie houseed01 9 20080102 BOS 1
Pollard Scot pollasc01 10 20080102 BOS 1
Allen Tony allento01 0 20080102 BOS 1
Davis Glen davisgl01 2 20080102 BOS 1
Powe Leon powele01 0 20080102 BOS 1
Miller Mike millemi01 16 20080104 MEM 2
Gasol Pau gasolpa01 12 20080104 MEM 2
Gay Rudy gayru01 21 20080104 MEM 2
Conley Mike conlemi01 10 20080104 MEM 2
Miličić Darko milicda01 6 20080104 MEM 2
Jacobsen Casey jacobca01 3 20080104 MEM 2
Navarro Juan_Carlos navarju01 20 20080104 MEM 2
Lowry Kyle lowryky01 4 20080104 MEM 2
Swift Stromile swiftst01 4 20080104 MEM 2
Pierce Paul piercpa01 23 20080104 BOS 1
Allen Ray allenra02 2 20080104 BOS 1
Garnett Kevin garneke01 23 20080104 BOS 1
Rondo Rajon rondora01 4 20080104 BOS 1
Perkins Kendrick perkike01 6 20080104 BOS 1
Allen Tony allento01 20 20080104 BOS 1
Posey James poseyja01 9 20080104 BOS 1
House Eddie houseed01 8 20080104 BOS 1
Davis Glen davisgl01 5 20080104 BOS 1
Pollard Scot pollasc01 0 20080104 BOS 1
Pierce Paul piercpa01 19 20080105 BOS 1
Garnett Kevin garneke01 15 20080105 BOS 1
Allen Ray allenra02 9 20080105 BOS 1
Perkins Kendrick perkike01 7 20080105 BOS 1
Rondo Rajon rondora01 3 20080105 BOS 1
Davis Glen davisgl01 20 20080105 BOS 1
Allen Tony allento01 10 20080105 BOS 1
House Eddie houseed01 4 20080105 BOS 1
Posey James poseyja01 3 20080105 BOS 1
Pollard Scot pollasc01 2 20080105 BOS 1
Billups Chauncey billuch01 17 20080105 DET 2
Hamilton Richard hamilri01 18 20080105 DET 2
Wallace Rasheed wallara01 16 20080105 DET 2
Prince Tayshaun princta01 7 20080105 DET 2
McDyess Antonio mcdyean01 4 20080105 DET 2
Maxiell Jason maxieja01 13 20080105 DET 2
Stuckey Rodney stuckro01 6 20080105 DET 2
Hayes Jarvis hayesja01 4 20080105 DET 2
Afflalo Arron afflaar01 0 20080105 DET 2
Brezec Primož brezepr01 0 20080105 DET 2
Wallace Gerald wallage01 15 20080109 CHA 1
Richardson Jason richaja01 34 20080109 CHA 1
Felton Raymond feltora01 16 20080109 CHA 1
McInnis Jeff mcinnje01 4 20080109 CHA 1
Okafor Emeka okafoem01 8 20080109 CHA 1
Mohammed Nazr mohamna01 18 20080109 CHA 1
Carroll Matt carroma01 0 20080109 CHA 1
Hollins Ryan holliry01 0 20080109 CHA 1
Dudley Jared dudleja01 0 20080109 CHA 1
Pierce Paul piercpa01 13 20080109 BOS 0
Rondo Rajon rondora01 13 20080109 BOS 0
Garnett Kevin garneke01 24 20080109 BOS 0
Perkins Kendrick perkike01 6 20080109 BOS 0
Allen Tony allento01 6 20080109 BOS 0
Posey James poseyja01 10 20080109 BOS 0
House Eddie houseed01 7 20080109 BOS 0
Scalabrine Brian scalabr01 4 20080109 BOS 0
Pollard Scot pollasc01 0 20080109 BOS 0
Pruitt Gabe pruitga01 0 20080109 BOS 0
Felton Raymond feltora01 12 20080111 CHA 0
